latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-15.0704,-43.1917,485.6,1.0,1.0,2021-09-18,1638,Aqua,MODIS,100,6.03,400.1,1279.3,D,0
-20.3066,-58.0539,485.4,1.0,1.0,2021-08-07,1738,Aqua,MODIS,100,6.03,400.1,1276.1,D,0
-9.9047,-43.7214,485.2,1.1,1.1,2021-09-20,1627,Aqua,MODIS,100,6.03,400.1,1507.0,D,0
-9.5989,-64.1669,485.1,1.0,1.0,2021-08-12,1800,Aqua,MODIS,100,6.03,337.9,1290.0,D,0
-11.4094,-43.7629,484.4,1.2,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,340.9,1572.1,D,0
-21.8225,-51.8516,484.4,1.0,1.0,2021-08-18,1719,Aqua,MODIS,94,6.03,337.7,1288.6,D,0
-10.0773,-43.7063,484.2,1.1,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,1477.1,D,0
-11.3394,-43.5372,483.8,1.1,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,1495.7,D,0
-9.5343,-66.656,483.8,1.5,1.2,2021-08-24,1824,Aqua,MODIS,100,6.03,330.2,2320.7,D,0
-3.8215,-54.1155,483.8,1.0,1.0,2021-10-14,1718,Aqua,MODIS,100,6.03,318.0,1308.7,D,0
-19.7928,-57.2339,483.6,1.0,1.0,2021-08-07,1738,Aqua,MODIS,100,6.03,400.1,1258.0,D,0
-10.9112,-57.1495,483.5,1.2,1.1,2021-08-23,1741,Aqua,MODIS,94,6.03,340.4,1631.4,D,0
-9.8798,-43.7082,482.8,3.3,1.7,2021-09-21,1710,Aqua,MODIS,100,6.03,338.0,6851.5,D,0
-7.0355,-59.4018,482.8,1.0,1.0,2021-07-31,1736,Aqua,MODIS,100,6.03,327.8,1226.7,D,0
-12.0974,-43.0853,482.6,1.0,1.0,2021-10-10,1308,Terra,MODIS,100,6.03,328.0,1241.2,D,0
-18.1448,-52.9456,482.2,1.4,1.2,2021-07-10,154,Terra,MODIS,100,6.03,326.7,2042.8,N,0
-18.4542,-49.7051,482.1,1.0,1.0,2021-09-05,1708,Aqua,MODIS,100,6.03,339.5,1228.1,D,0
-17.0971,-58.3282,481.9,1.5,1.2,2021-08-18,1721,Aqua,MODIS,87,6.03,400.1,2196.3,D,0
-12.0825,-54.5169,481.7,3.5,1.8,2021-06-18,1322,Terra,MODIS,100,6.03,318.0,7353.9,D,0
-21.1915,-57.5838,481.6,1.2,1.1,2021-08-21,1750,Aqua,MODIS,100,6.03,335.2,1626.6,D,0
-19.8586,-48.2822,481.4,1.0,1.0,2021-08-22,1655,Aqua,MODIS,100,6.03,400.1,1253.0,D,0
-8.2508,-61.4626,481.2,1.0,1.0,2021-08-07,1742,Aqua,MODIS,100,6.03,338.0,1243.0,D,0
-6.5466,-53.177,481.2,1.0,1.0,2021-08-04,1711,Aqua,MODIS,100,6.03,330.9,1195.6,D,0
-11.3327,-43.5592,481.2,1.1,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,327.9,1444.5,D,0
-9.8952,-43.7228,480.8,1.1,1.1,2021-09-20,1627,Aqua,MODIS,100,6.03,400.1,1409.0,D,0
-9.8695,-60.1085,480.8,1.6,1.2,2021-09-13,1800,Aqua,MODIS,94,6.03,316.7,2365.8,D,0
-21.5014,-51.819,480.4,1.1,1.0,2021-09-21,1707,Aqua,MODIS,100,6.03,339.3,1341.9,D,0
-2.6564,-48.6645,480.4,1.0,1.0,2021-10-18,1654,Aqua,MODIS,94,6.03,315.9,1200.5,D,0
-7.1581,-55.3504,480.3,1.2,1.1,2021-08-04,1711,Aqua,MODIS,100,6.03,337.2,1451.0,D,0
-10.6982,-43.9795,480.1,1.9,1.3,2021-10-08,1615,Aqua,MODIS,100,6.03,334.0,3009.9,D,0
-11.7986,-45.0893,480.0,1.1,1.1,2021-09-16,1651,Aqua,MODIS,100,6.03,400.1,1409.4,D,0
-11.4238,-43.7769,479.9,1.2,1.1,2021-10-06,1627,Aqua,MODIS,100,6.03,400.1,1474.5,D,0
-22.5839,-48.3421,479.9,1.0,1.0,2021-10-23,1707,Aqua,MODIS,94,6.03,335.5,1225.1,D,0
-6.8479,-59.2717,479.2,1.1,1.0,2021-08-09,1730,Aqua,MODIS,100,6.03,400.1,1275.2,D,0
-8.816,-62.5864,479.1,1.0,1.0,2021-08-05,1754,Aqua,MODIS,100,6.03,336.0,1191.9,D,0
-7.0729,-52.7106,479.1,1.2,1.1,2021-08-22,1659,Aqua,MODIS,94,6.03,330.7,1541.5,D,0
-12.4136,-63.6465,479.1,1.4,1.2,2021-10-13,1811,Aqua,MODIS,100,6.03,318.9,1805.4,D,0
-8.2258,-55.2574,479.0,1.0,1.0,2021-08-11,1717,Aqua,MODIS,100,6.03,336.6,1193.2,D,0
-23.4429,-52.1348,478.9,1.0,1.0,2021-08-19,1336,Terra,MODIS,100,6.03,335.4,1196.5,D,0
-5.177,-36.8465,478.9,1.0,1.0,2021-10-10,1604,Aqua,MODIS,100,6.03,324.4,1150.1,D,0
-14.3079,-43.9621,478.8,1.2,1.1,2021-09-16,1650,Aqua,MODIS,100,6.03,400.1,1521.9,D,0
-11.797,-45.0789,478.8,1.1,1.1,2021-09-16,1651,Aqua,MODIS,100,6.03,400.1,1384.6,D,0
-11.4849,-43.4635,478.6,1.8,1.3,2021-09-22,1615,Aqua,MODIS,94,6.03,325.2,2678.5,D,0
-11.4939,-54.0208,478.5,1.5,1.2,2021-06-29,1734,Aqua,MODIS,100,6.03,400.1,2035.8,D,0
-6.4657,-55.0103,478.5,1.1,1.0,2021-08-20,1711,Aqua,MODIS,100,6.03,332.7,1311.2,D,0
